# Packages matching: installed
# Name                     # Installed # Synopsis
angstrom                   0.15.0      Parser combinators built for speed and memory-efficiency
conf-perl                  2           Virtual package relying on perl
conf-pkg-config            2           Check if pkg-config is installed and create an opam switch local pkgconfig folder
conf-python-3              1.0.0       Virtual package relying on Python-3 installation
conf-which                 1           Virtual package relying on which
conf-zlib                  1           Virtual package relying on zlib
core                       v0.14.1     Industrial strength alternative to OCaml's standard library
core_bench                 v0.14.0     Benchmarking library
core_kernel                v0.14.2     Industrial strength alternative to OCaml's standard library
core_unix                  v0.14.0     Unix-specific portions of Core
cppo                       1.6.9       Code preprocessor like cpp for OCaml
csexp                      1.5.1       Parsing and printing of S-expressions in Canonical form
ctypes                     0.20.2      Combinators for binding to C libraries without writing any C
ctypes-foreign             0.18.0      Virtual package for enabling the ctypes.foreign subpackage
dot-merlin-reader          4.6         Reads config files for merlin
dune                       3.8.1       Fast, portable, and opinionated build system
dune-build-info            3.4.1       Embed build informations inside executable
dune-configurator          3.4.1       Helper library for gathering system configuration
dune-rpc                   3.4.1       Communicate with dune using rpc
dyn                        3.4.1       Dynamic type
either                     1.0.0       Compatibility Either module
expect_test_helpers_core   v0.14.0     Helpers for writing expectation tests
FrontC                     4.1.0       Parses C programs to an abstract syntax tree
fiber                      3.4.1       Structured concurrency library
fieldslib                  v0.14.0     Syntax extension to define first class values representing record fields, to get and set record fields, iterate and fold over all fields of a record and create new record values
fileutils                  0.6.3       API to manipulate files (POSIX like) and filenames
fix                        20220121    Algorithmic building blocks for memoization, recursion, and more
fmt                        0.9.0       OCaml Format pretty-printer combinators
fpath                      0.7.3       File system paths for OCaml
graphlib                   2.5.0       Generic Graph library
integers                   0.7.0       Various signed and unsigned integer types for OCaml
jane-street-headers        v0.14.0     Jane Street C header files
js_of_ocaml                4.0.0       Compiler from OCaml bytecode to JavaScript
js_of_ocaml-compiler       4.0.0       Compiler from OCaml bytecode to JavaScript
js_of_ocaml-ppx            4.0.0       Compiler from OCaml bytecode to JavaScript
jst-config                 v0.14.1     Compile-time configuration for Jane Street libraries
lambda-term                3.3.1       Terminal manipulation library for OCaml
linenoise                  1.4.0       Lightweight readline alternative
llvm                       14.0.6      The OCaml bindings distributed with LLVM
logs                       0.7.0       Logging infrastructure for OCaml
lwt                        5.6.1       Promises and event-driven I/O
lwt_react                  1.2.0       Helpers for using React with Lwt
menhir                     20230415    An LR(1) parser generator
menhirLib                  20230415    Runtime support library for parsers generated by Menhir
menhirSdk                  20230415    Compile-time library for auxiliary tools related to Menhir
merlin                     4.6-414     Editor helper, provides completion, typing and source browsing in Vim and Emacs
merlin-lib                 4.6-414     Merlin's libraries
mew                        0.1.0       Modal editing witch
mew_vi                     0.5.0       Modal editing witch, VI interpreter
mmap                       1.2.0       File mapping functionality
monads                     2.5.0       A missing monad library
num                        1.4         The legacy Num library for arbitrary-precision integer and rational arithmetic
oasis                      0.4.11      Tooling for building OCaml libraries and applications
ocaml                      4.14.0      The OCaml compiler (virtual package)
ocaml-base-compiler        4.14.0      Official release 4.14.0
ocaml-compiler-libs        v0.12.4     OCaml compiler libraries repackaged
ocaml-config               2           OCaml Switch Configuration
ocaml-lsp-server           1.14.0      LSP Server for OCaml
ocaml-options-vanilla      1           Ensure that OCaml is compiled with no special options enabled
ocaml-syntax-shims         1.0.0       Backport new syntax to older OCaml versions
ocaml-version              3.5.0       Manipulate, parse and generate OCaml compiler version strings
ocaml_intrinsics           v0.15.2     Intrinsics
ocamlbuild                 0.14.2      OCamlbuild is a build system with builtin rules to easily build most OCaml projects
ocamlfind                  1.9.5       A library manager for OCaml
ocamlformat                0.21.0      Auto-formatter for OCaml code
ocamlformat-rpc            0.21.0      Auto-formatter for OCaml code (RPC mode)
ocamlformat-rpc-lib        0.21.0      Auto-formatter for OCaml code (RPC mode)
ocamlgraph                 2.0.0       A generic graph library for OCaml
ocamlify                   0.0.1       Include files in OCaml code
ocamlmod                   0.0.9       Generate OCaml modules from source files
ocp-indent                 1.8.1       A simple tool to indent OCaml programs
ocplib-endian              1.2         Optimised functions to read and write int16/32/64 from strings and bigarrays
octavius                   1.2.2       Ocamldoc comment syntax parser
odoc                       2.1.1       OCaml documentation generator
odoc-parser                1.0.1       Parser for ocaml documentation comments
ogre                       2.5.0       Open Generic REpresentation NoSQL Database
omd                        1.3.2       A Markdown frontend in pure OCaml
ordering                   3.4.1       Element ordering
ounit                      2.2.6       This is a transition package, ounit is now ounit2
ounit2                     2.2.6       OUnit testing framework
parsexp                    v0.14.2     S-expression parsing library
pp                         1.1.2       Pretty-printing library
ppx_assert                 v0.14.0     Assert-like extension nodes that raise useful errors on failure
ppx_bap                    v0.14.0     The set of ppx rewriters for BAP
ppx_base                   v0.14.0     Base set of ppx rewriters
ppx_bench                  v0.14.1     Syntax extension for writing in-line benchmarks in ocaml code
ppx_bin_prot               v0.14.0     Generation of bin_prot readers and writers from types
ppx_bitstring              4.1.0       Bitstrings and bitstring matching for OCaml - PPX extension
ppx_cold                   v0.14.0     Expands [@cold] into [@inline never][@specialise never][@local never]
ppx_compare                v0.14.0     Generation of comparison functions from types
ppx_custom_printf          v0.14.1     Printf-style format-strings for user-defined string conversion
ppx_derivers               1.2.1       Shared [@@deriving] plugin registry
ppx_deriving               5.2.1       Type-driven code generation for OCaml
ppx_enumerate              v0.14.0     Generate a list containing all values of a finite type
ppx_expect                 v0.14.2     Cram like framework for OCaml
ppx_fields_conv            v0.14.2     Generation of accessor and iteration functions for ocaml records
ppx_fixed_literal          v0.14.0     Simpler notation for fixed point literals
ppx_hash                   v0.14.0     A ppx rewriter that generates hash functions from type expressions and definitions
ppx_here                   v0.14.0     Expands [%here] into its location
ppx_ignore_instrumentation v0.15.0     Ignore Jane Street specific instrumentation extensions
ppx_inline_test            v0.14.1     Syntax extension for writing in-line tests in ocaml code
ppx_jane                   v0.14.0     Standard Jane Street ppx rewriters
ppx_js_style               v0.14.1     Code style checker for Jane Street Packages
ppx_let                    v0.14.0     Monadic let-bindings
ppx_log                    v0.14.0     Ppx_sexp_message-like extension nodes for lazily rendering log messages
ppx_module_timer           v0.14.0     Ppx rewriter that records top-level module startup times
ppx_optcomp                v0.14.3     Optional compilation for OCaml
ppx_optional               v0.14.0     Pattern matching on flat options
ppx_pipebang               v0.14.0     A ppx rewriter that inlines reverse application operators `|>` and `|!`
ppx_sexp_conv              v0.14.3     [@@deriving] plugin to generate S-expression conversion functions
ppx_sexp_message           v0.14.1     A ppx rewriter for easy construction of s-expressions
ppx_sexp_value             v0.14.0     A ppx rewriter that simplifies building s-expressions from ocaml values
ppx_stable                 v0.14.1     Stable types conversions generator
ppx_string                 v0.14.1     Ppx extension for string interpolation
ppx_typerep_conv           v0.14.2     Generation of runtime types from type declarations
ppx_variants_conv          v0.14.2     Generation of accessor and iteration functions for ocaml variant types
ppx_yojson_conv_lib        v0.15.0     Runtime lib for ppx_yojson_conv
ppxlib                     0.25.1      Standard library for ppx rewriters
protocol_version_header    v0.14.0     Protocol versioning
qcheck                     0.19.1      Compatibility package for qcheck
qcheck-core                0.19.1      Core qcheck library
qcheck-ounit               0.19.1      OUnit backend for qcheck
re                         1.10.4      RE is a regular expression library for OCaml
react                      1.2.2       Declarative events and signals for OCaml
regular                    2.5.0       Library for regular data types
result                     1.5         Compatibility Result module
seq                        base        Compatibility package for OCaml's standard iterator type starting from 4.07.
sexp_pretty                v0.14.0     S-expression pretty-printer
sexplib                    v0.14.0     Library for serializing OCaml values to and from S-expressions
sexplib0                   v0.14.0     Library containing the definition of S-expressions and some base converters
spawn                      v0.15.1     Spawning sub-processes
splittable_random          v0.14.0     PRNG that can be split into independent streams
stdio                      v0.14.0     Standard IO library for OCaml
stdlib-shims               0.3.0       Backport some of the new stdlib features to older compiler
stdune                     3.4.1       Dune's unstable standard library
stringext                  1.6.0       Extra string functions for OCaml
text-tags                  2.5.0       A library for rich formatting using semantics tags
textutils                  v0.14.0     Text output utilities
textutils_kernel           v0.14.0     Text output utilities
time_now                   v0.14.0     Reports the current time
timezone                   v0.14.0     Time-zone handling
topkg                      1.0.5       The transitory OCaml software packager
trie                       1.0.0       Strict impure trie tree
typerep                    v0.14.0     Typerep is a library for runtime types
tyxml                      4.5.0       A library for building correct HTML and SVG documents
uchar                      0.0.2       Compatibility library for OCaml's Uchar module
uri                        4.2.0       An RFC3986 URI/URL parsing library
user-setup                 0.7         Helper for the configuration of editors for the use of OCaml tools
utop                       2.10.0      Universal toplevel for OCaml
uucp                       15.0.0      Unicode character properties for OCaml
uuidm                      0.9.8       Universally unique identifiers (UUIDs) for OCaml
uuseg                      15.0.0      Unicode text segmentation for OCaml
uutf                       1.0.3       Non-blocking streaming Unicode codec for OCaml
variantslib                v0.14.0     Part of Jane Street's Core library
xdg                        3.4.1       XDG Base Directory Specification
xmlm                       1.4.0       Streaming XML codec for OCaml
yojson                     2.0.2       Yojson is an optimized parsing and printing library for the JSON format
zarith                     1.12        Implements arithmetic and logical operations over arbitrary-precision integers
zed                        3.2.0       Abstract engine for text edition in OCaml
